verse	token	lemma	pos
3JOHN 1.14	'[''ἐλπίζω'', ''δὲ'', ''εὐθέως'', ''σε'', ''ἰδεῖν'', ''καὶ'', ''στόμα'', ''πρὸς'', ''στόμα'', ''λαλήσομεν'']'	'[''ἐλπίζω'', ''δέ'', ''εὐθέως'', ''σύ'', ''ὁράω'', ''καί'', ''στόμα'', ''πρός'', ''στόμα'', ''λαλέω'']'	'[''VERB'', ''ADV'', ''ADV'', ''PRON'', ''VERB'', ''CON'', ''NOUN'', ''PREP'', ''NOUN'', ''VERB'']'
3JOHN 1.15	'[''εἰρήνη'', ''σοι'', ''ἀσπάζονταί'', ''σε'', ''οἱ'', ''φίλοι'', ''ἀσπάζου'', ''τοὺς'', ''φίλους'', ''κατ'', ''ὄνομα'']'	'[''εἰρήνη'', ''σύ'', ''ἀσπάζομαι'', ''σύ'', ''ὁ'', ''φίλος'', ''ἀσπάζομαι'', ''ὁ'', ''φίλος'', ''κατά'', ''ὄνομα'']'	'[''NOUN'', ''PRON'', ''VERB'', ''PRON'', ''DET'', ''NOUN'', ''VERB'', ''DET'', ''NOUN'', ''PREP'', ''NOUN'']'
JUDE 1.1	'[''ἰούδας'', ''ἰησοῦ'', ''χριστοῦ'', ''δοῦλος'', ''ἀδελφὸς'', ''δὲ'', ''ἰακώβου'', ''τοῖς'', ''ἐν'', ''θεῷ'', ''πατρὶ'', ''ἠγαπημένοις'', ''καὶ'', ''ἰησοῦ'', ''χριστῷ'', ''τετηρημένοις'', ''κλητοῖς'']'	'[''ἰούδας'', ''ἰησοῦς'', ''χριστός'', ''δοῦλος'', ''ἀδελφός'', ''δέ'', ''ἰάκωβος'', ''ὁ'', ''ἐν'', ''θεός'', ''πατήρ'', ''ἠγαπημένω'', ''καί'', ''ἰησοῦς'', ''χριστός'', ''τηράω'', ''κλητός'']'	'[''PROPN'', ''PROPN'', ''PROPN'', ''NOUN'', ''NOUN'', ''ADV'', ''PROPN'', ''DET'', ''PREP'', ''NOUN'', ''NOUN'', ''VERB'', ''CON'', ''PROPN'', ''PROPN'', ''VERB'', ''ADJ'']'
JUDE 1.3	'[''ἀγαπητοί'', ''πᾶσαν'', ''σπουδὴν'', ''ποιούμενος'', ''γράφειν'', ''ὑμῖν'', ''περὶ'', ''τῆς'', ''κοινῆς'', ''ἡμῶν'', ''σωτηρίας'', ''ἀνάγκην'', ''ἔσχον'', ''γράψαι'', ''ὑμῖν'', ''παρακαλῶν'', ''ἐπαγωνίζεσθαι'', ''τῇ'', ''ἅπαξ'', ''παραδοθείσῃ'', ''τοῖς'', ''ἁγίοις'', ''πίστει'']'	'[''ἀγαπητός'', ''πᾶς'', ''σπουδή'', ''ποιέω'', ''γράφω'', ''ὑμεῖς'', ''περί'', ''ὁ'', ''κοινός'', ''ἡμεῖς'', ''σωτηρία'', ''ἀνάγκη'', ''ἔχω'', ''γράφω'', ''ὑμεῖς'', ''παρακαλέω'', ''ἐπαγωνίζω'', ''ὁ'', ''ἅπαξ'', ''παραδοθείζω'', ''ὁ'', ''ἅγιος'', ''πίστις'']'	'[''ADJ'', ''DET'', ''NOUN'', ''VERB'', ''VERB'', ''PRON'', ''PREP'', ''DET'', ''ADJ'', ''PRON'', ''NOUN'', ''NOUN'', ''VERB'', ''VERB'', ''PRON'', ''VERB'', ''VERB'', ''DET'', ''ADV'', ''VERB'', ''DET'', ''ADJ'', ''NOUN'']'
JUDE 1.4	'[''παρεισέδυσαν'', ''γάρ'', ''τινες'', ''ἄνθρωποι'', ''οἱ'', ''πάλαι'', ''προγεγραμμένοι'', ''εἰς'', ''τοῦτο'', ''τὸ'', ''κρίμα'', ''ἀσεβεῖς'', ''τὴν'', ''τοῦ'', ''θεοῦ'', ''ἡμῶν'', ''χάριτα'', ''μετατιθέντες'', ''εἰς'', ''ἀσέλγειαν'', ''καὶ'', ''τὸν'', ''μόνον'', ''δεσπότην'', ''καὶ'', ''κύριον'', ''ἡμῶν'', ''ἰησοῦν'', ''χριστὸν'', ''ἀρνούμενοι'']'	'[''παρεισδύνω'', ''γάρ'', ''τίς'', ''ἄνθρωπος'', ''ὁ'', ''πάλαι'', ''προγράφω'', ''εἰς'', ''οὗτος'', ''ὁ'', ''κρίμα'', ''ἀσεβής'', ''ὁ'', ''ὁ'', ''θεός'', ''ἡμεῖς'', ''χάρις'', ''μετατίθημι'', ''εἰς'', ''ἀσέλγεια'', ''καί'', ''ὁ'', ''μόνος'', ''δεσπότης'', ''καί'', ''κύριος'', ''ἡμεῖς'', ''ἰησοῦς'', ''χριστός'', ''ἀρνέω'']'	'[''VERB'', ''ADV'', ''DET'', ''NOUN'', ''DET'', ''ADV'', ''VERB'', ''PREP'', ''DET'', ''DET'', ''NOUN'', ''ADJ'', ''DET'', ''DET'', ''NOUN'', ''PRON'', ''NOUN'', ''VERB'', ''PREP'', ''NOUN'', ''CON'', ''DET'', ''ADJ'', ''NOUN'', ''CON'', ''NOUN'', ''PRON'', ''PROPN'', ''PROPN'', ''VERB'']'
JUDE 1.5	'[''ὑπομνῆσαι'', ''δὲ'', ''ὑμᾶς'', ''βούλομαι'', ''εἰδότας'', ''ὑμᾶς'', ''ἅπαξ'', ''πάντα'', ''ὅτι'', ''ἰησοῦς'', ''λαὸν'', ''ἐκ'', ''γῆς'', ''αἰγύπτου'', ''σώσας'', ''τὸ'', ''δεύτερον'', ''τοὺς'', ''μὴ'', ''πιστεύσαντας'', ''ἀπώλεσεν'']'	'[''ὑπομιμνήσκω'', ''δέ'', ''ὑμεῖς'', ''βούλομαι'', ''οἶδα'', ''ὑμεῖς'', ''ἅπαξ'', ''πᾶς'', ''ὅτι'', ''ἰησοῦς'', ''λαός'', ''ἐκ'', ''γῆ'', ''αἴγυπτος'', ''σῴζω'', ''ὁ'', ''δεύτερος'', ''ὁ'', ''μή'', ''πιστεύω'', ''ἀπόλλυμι'']'	'[''VERB'', ''ADV'', ''PRON'', ''VERB'', ''VERB'', ''PRON'', ''ADV'', ''DET'', ''CON'', ''PROPN'', ''NOUN'', ''PREP'', ''NOUN'', ''PROPN'', ''VERB'', ''DET'', ''ADJ'', ''DET'', ''ADV'', ''VERB'', ''VERB'']'
JUDE 1.6	'[''ἀγγέλους'', ''τε'', ''τοὺς'', ''μὴ'', ''τηρήσαντας'', ''τὴν'', ''ἑαυτῶν'', ''ἀρχὴν'', ''ἀλλὰ'', ''ἀπολιπόντας'', ''τὸ'', ''ἴδιον'', ''οἰκητήριον'', ''εἰς'', ''κρίσιν'', ''μεγάλης'', ''ἡμέρας'', ''δεσμοῖς'', ''ἀϊδίοις'', ''ὑπὸ'', ''ζόφον'', ''τετήρηκεν'']'	'[''ἄγγελος'', ''τε'', ''ὁ'', ''μή'', ''τηράω'', ''ὁ'', ''ἑαυτοῦ'', ''ἀρχή'', ''ἀλλά'', ''ἀπολείπω'', ''ὁ'', ''ἴδιος'', ''οἰκητήριον'', ''εἰς'', ''κρίσις'', ''μέγας'', ''ἡμέρα'', ''δεσμός'', ''ἀϊδίος'', ''ὑπό'', ''ζόφος'', ''τηράω'']'	'[''NOUN'', ''CON'', ''DET'', ''ADV'', ''VERB'', ''DET'', ''PRON'', ''NOUN'', ''CON'', ''VERB'', ''DET'', ''ADJ'', ''NOUN'', ''PREP'', ''NOUN'', ''ADJ'', ''NOUN'', ''NOUN'', ''ADJ'', ''PREP'', ''NOUN'', ''VERB'']'
JUDE 1.7	'[''ὡς'', ''σόδομα'', ''καὶ'', ''γόμορρα'', ''καὶ'', ''αἱ'', ''περὶ'', ''αὐτὰς'', ''πόλεις'', ''τὸν'', ''ὅμοιον'', ''τρόπον'', ''τούτοις'', ''ἐκπορνεύσασαι'', ''καὶ'', ''ἀπελθοῦσαι'', ''ὀπίσω'', ''σαρκὸς'', ''ἑτέρας'', ''πρόκεινται'', ''δεῖγμα'', ''πυρὸς'', ''αἰωνίου'', ''δίκην'', ''ὑπέχουσαι'']'	'[''ὡς'', ''σόδομα'', ''καί'', ''γόμορρα'', ''καί'', ''ὁ'', ''περί'', ''αὐτός'', ''πόλις'', ''ὁ'', ''ὅμοιος'', ''τρόπος'', ''οὗτος'', ''ἐκπορνεύω'', ''καί'', ''ἀπέρχομαι'', ''ὀπίσω'', ''σάρξ'', ''ἕτερος'', ''πρόκειμαι'', ''δεῖγμα'', ''πῦρ'', ''αἰώνιος'', ''δίκη'', ''ὑπέχω'']'	'[''ADV'', ''PROPN'', ''CON'', ''PROPN'', ''CON'', ''DET'', ''PREP'', ''PRON'', ''NOUN'', ''DET'', ''ADJ'', ''NOUN'', ''ADJ'', ''VERB'', ''CON'', ''VERB'', ''PREP'', ''NOUN'', ''ADJ'', ''VERB'', ''NOUN'', ''NOUN'', ''ADJ'', ''NOUN'', ''VERB'']'
JUDE 1.8	'[''ὁμοίως'', ''μέντοι'', ''καὶ'', ''οὗτοι'', ''ἐνυπνιαζόμενοι'', ''σάρκα'', ''μὲν'', ''μιαίνουσιν'', ''κυριότητα'', ''δὲ'', ''ἀθετοῦσιν'', ''δόξας'', ''δὲ'', ''βλασφημοῦσιν'']'	'[''ὁμοίως'', ''μέντοι'', ''καί'', ''οὗτος'', ''ἐνυπνιαζόμενος'', ''σάρξ'', ''μέν'', ''μιαίνω'', ''κυριότητος'', ''δέ'', ''ἀθετοῦσις'', ''δοκέω'', ''δέ'', ''βλασφημοῦσις'']'	'[''ADV'', ''ADV'', ''ADV'', ''ADJ'', ''VERB'', ''NOUN'', ''ADV'', ''VERB'', ''NOUN'', ''ADV'', ''VERB'', ''NOUN'', ''ADV'', ''VERB'']'
JUDE 1.9	'[''ὁ'', ''δὲ'', ''μιχαὴλ'', ''ὁ'', ''ἀρχάγγελος'', ''ὅτε'', ''τῷ'', ''διαβόλῳ'', ''διακρινόμενος'', ''διελέγετο'', ''περὶ'', ''τοῦ'', ''μωϋσέως'', ''σώματος'', ''οὐκ'', ''ἐτόλμησεν'', ''κρίσιν'', ''ἐπενεγκεῖν'', ''βλασφημίας'', ''ἀλλὰ'', ''εἶπεν'', ''ἐπιτιμήσαι'', ''σοι'', ''κύριος'']'	'[''ὁ'', ''δέ'', ''μιχαήλ'', ''ὁ'', ''ἀρχάγγελος'', ''ὅτε'', ''ὁ'', ''διαβόλος'', ''διακρίνω'', ''διαλέγω'', ''περί'', ''ὁ'', ''μωϋσεύς'', ''σῶμα'', ''οὐ'', ''τολμάω'', ''κρίσις'', ''ἐπιφέρω'', ''βλασφημία'', ''ἀλλά'', ''λέγω'', ''ἐπιτιμάω'', ''σύ'', ''κύριος'']'	'[''DET'', ''ADV'', ''PROPN'', ''DET'', ''NOUN'', ''CON'', ''DET'', ''NOUN'', ''VERB'', ''VERB'', ''PREP'', ''DET'', ''PROPN'', ''NOUN'', ''ADV'', ''VERB'', ''NOUN'', ''VERB'', ''NOUN'', ''CON'', ''VERB'', ''VERB'', ''PRON'', ''NOUN'']'
